world_rank,university_name,Country,Region,Climate,Tuition_Fees (USD)[10076-49933],Average_Living_Cost (USD),Scholarship_Option(yes/no),Global_Ranking,Internship_Placement_Rate(%),Research_Opportunities,Teaching_Method,Faculty_Credentials (%),Degree_Recognition,Student_Satisfaction_Rate (%),Course_Flexibility,Dual_Degree_Programs,Transfer_Options,Living_Conditions,Average_Placement_(LPA)[5-19.94],Global_Certifications,Alumni_Network,Scholarship_Program,Scholarship_Amount(USD),Visa_Sponsorship,Visa_Sponsorship_Details,Language_Requirements,Aptitude_Test_Requirements,Top_Hiring_Industries,Fields_of Study Available,Year_Established,Program_Duration (Years),Student Facilities,Dining Options,Acceptance_Rate(%),Application_Deadlines,Interview Requirement,Student Support Services,Class Size,Safety Index (%),Currency Used,College Recognition and Awards,Early Decision,Waitlist Acceptance Rate (%),Open Electives Per Stream,Student Exchange Program,Local Attractions,Accessibility for Students with Disabilities,Quality of Mentors (Rating out of 10),Gap Year Support,Recommendation Letters Requirement,Embassy Support,Events,Smart Classroom Features,Collaborative Study Spaces,Retention Rate (%),Summer and Winter Internship
127,University of Colorado Boulder,USA,Asia,Arid,49378,12741,No,281,73.7962923,No,In-person,84,International,62,High,Yes,Yes,Medium,10.12,No,Inactive,Full Scholarship,5557.77,Yes,Partial Sponsorship,German,GRE,Healthcare,Law,1831,5,Sports Complex,Restaurants,11,Jan-15,Yes,No,16,90,GBP,Global Ranking Top 100,Yes,7,10,No,Libraries,Good,6.0799686,Available,No,Medium,66,Yes,Yes,90.54435993,Yes
501-600,University of Seville,Germany,Asia,Tropical,13391,14410,Yes,283,96.93291174,Yes,In-person,98,National,68,Medium,No,Yes,High,11.09,No,Active,Partial Scholarship,36013.72,Yes,Full Sponsorship,German,TOEFL,Healthcare,Science,1933,5,Library,Restaurants,35,Nov-01,No,No,47,95,USD,Regional Award,Yes,10,8,No,Mountain Ranges,Excellent,8.113349151,Available,No,Medium,76,Yes,Yes,74.62733927,No
401-500,Howard University,UK,North America,Continental,15339,18178,No,284,92.98868669,Yes,Online,97,National,82,Low,No,Yes,High,7.41,No,Active,Full Scholarship,45873.65,No,No Sponsorship,French,TOEFL,Tech,Engineering,1832,4,Gym,Cafeteria,30,Jan-15,Yes,No,27,85,USD,Global Ranking Top 100,No,6,7,Yes,Shopping Districts,Average,6.136962701,Not Available,Yes,High,17,Yes,No,70.85314853,No
401-500,State University of New York Albany,USA,North America,Arid,37488,10156,No,284,88.77497304,No,Hybrid,77,International,90,Low,No,No,Low,12.62,Yes,Inactive,No Scholarship,6174.47,No,Partial Sponsorship,Spanish,None,Tech,Technology,1875,3,Labs,Restaurants,5,Nov-01,No,No,45,85,USD,Global Ranking Top 100,Yes,5,5,No,Islands,Average,8.419072017,Not Available,No,High,78,No,Yes,80.42753078,No
601-800,Northumbria University,Australia,Europe,Temperate,12533,20739,Yes,284,91.34127876,No,Online,72,National,95,High,Yes,Yes,Medium,5.78,No,Inactive,Full Scholarship,41401.52,No,Partial Sponsorship,Mandarin,IELTS,Healthcare,Engineering,1823,5,Sports Complex,Restaurants,21,Apr-30,Yes,Yes,11,85,USD,Regional Award,Yes,3,4,Yes,Parks and Green Spaces,Good,7.087529769,Available,No,Low,92,Yes,Yes,78.99874894,Yes
50,University of Wisconsin-Madison,Australia,Oceania,Continental,37813,15517,No,285,85.01873938,Yes,Online,76,National,73,High,Yes,Yes,Medium,18.89,No,Inactive,Full Scholarship,8018.31,No,Partial Sponsorship,English,TOEFL,Finance,Arts,1947,4,Sports Complex,Restaurants,36,Jan-15,Yes,Yes,20,85,USD,Global Ranking Top 100,Yes,5,3,Yes,Ruins,Good,9.202413479,Not Available,No,Medium,79,No,No,87.84859962,No
88,Maastricht University,USA,Asia,Tropical,26523,23628,No,285,67.99124049,No,Hybrid,75,Regional,85,High,No,No,Medium,14,No,Active,Full Scholarship,34387.49,No,No Sponsorship,Mandarin,None,Manufacturing,Arts,1941,5,Library,Restaurants,11,Apr-30,No,Yes,21,85,EUR,National Recognition,Yes,6,1,No,Museums,Average,7.6280362,Not Available,No,Low,100,No,No,79.70474599,Yes
301-350,Yonsei University,USA,Oceania,Temperate,34940,24905,No,285,60.99672643,No,In-person,84,National,95,Low,No,Yes,High,8.64,Yes,Active,No Scholarship,16929.91,No,Partial Sponsorship,Spanish,GRE,Finance,Business,1999,5,Sports Complex,Restaurants,47,Nov-01,Yes,No,38,80,USD,National Recognition,Yes,4,1,Yes,Libraries,Good,6.510600472,Available,No,Low,40,No,Yes,71.27083895,No
351-400,University of Rome III,Australia,North America,Continental,41795,20313,Yes,285,73.30034008,No,Hybrid,81,Regional,73,Medium,No,No,High,6.76,Yes,Inactive,No Scholarship,42754.13,No,No Sponsorship,English,IELTS,Consulting,Engineering,1808,4,Gym,Cafeteria,47,Jan-15,Yes,No,26,80,GBP,Global Ranking Top 100,No,10,5,No,Botanical Reserves,Excellent,9.947049688,Available,Yes,Low,48,Yes,Yes,76.32871864,Yes
401-500,University of Pisa,USA,North America,Tropical,43895,11527,No,285,69.94886131,No,Hybrid,82,Regional,70,High,No,Yes,Low,12.07,No,Inactive,No Scholarship,5433.41,Yes,Partial Sponsorship,Mandarin,None,Consulting,Technology,1872,3,Gym,Cafeteria,28,Nov-01,No,Yes,47,95,USD,Regional Award,No,1,10,Yes,National Monuments,Good,6.581789567,Available,Yes,Medium,44,No,Yes,76.73602341,No
401-500,East China University of Science and Technology,Canada,Europe,Tropical,18596,14390,Yes,286,56.78800273,Yes,In-person,97,National,93,High,No,No,Low,14.6,No,Inactive,Partial Scholarship,44719.03,No,No Sponsorship,English,None,Tech,Science,2005,4,Labs,Cafeteria,7,Nov-01,No,No,16,95,EUR,Global Ranking Top 100,No,3,4,No,Religious Sites,Average,9.394367193,Available,Yes,High,31,No,Yes,93.524342,No
601-800,Waseda University,Australia,Asia,Arid,43268,11062,No,286,79.2254918,Yes,Online,74,International,95,High,No,No,High,6.05,Yes,Inactive,Partial Scholarship,3309.49,No,Partial Sponsorship,French,TOEFL,Consulting,Science,1990,5,Sports Complex,Food Court,48,Nov-01,Yes,No,16,80,EUR,Regional Award,Yes,2,3,No,Beaches and Coastal Areas,Average,8.664937928,Available,No,Medium,90,Yes,No,92.97516282,No
251-300,Bayreuth University,USA,North America,Tropical,23123,13851,No,287,75.72630714,Yes,Hybrid,70,Regional,71,High,Yes,No,Medium,7.39,No,Inactive,Partial Scholarship,48794.63,Yes,No Sponsorship,Mandarin,IELTS,Tech,Business,1951,5,Sports Complex,Restaurants,28,Apr-30,Yes,No,17,95,EUR,National Recognition,Yes,10,7,No,Amusement Parks,Average,7.508971889,Not Available,Yes,Medium,45,Yes,No,85.6419169,No
401-500,Indian Institute of Technology Delhi,India,Asia,Continental,37915,16003,No,288,94.55231281,No,Online,95,International,77,Medium,No,Yes,Low,15.8,No,Active,Partial Scholarship,28235.28,Yes,Full Sponsorship,English,GRE,Finance,Engineering,2005,5,Labs,Restaurants,33,Apr-30,Yes,No,41,80,USD,Regional Award,Yes,1,3,Yes,Religious Sites,Average,7.197098288,Available,No,Low,79,Yes,No,91.74732201,Yes
401-500,Aston University,USA,Europe,Temperate,43643,22823,Yes,290,76.64857696,Yes,In-person,76,Regional,76,Low,Yes,No,High,17.32,Yes,Inactive,Partial Scholarship,24475.01,Yes,Partial Sponsorship,French,TOEFL,Finance,Science,1912,5,Labs,Food Court,40,Nov-01,No,No,29,95,EUR,National Recognition,No,9,3,Yes,Wildlife Sanctuaries,Excellent,7.831116124,Available,Yes,Low,15,Yes,Yes,94.25319064,No
601-800,K.N. Toosi University of Technology,Canada,North America,Arid,37168,24545,No,290,82.02976513,No,In-person,85,Regional,87,High,No,Yes,High,16.44,Yes,Inactive,Partial Scholarship,13608,No,Partial Sponsorship,Spanish,None,Tech,Business,1950,4,Gym,Cafeteria,19,Jan-15,Yes,No,49,80,USD,National Recognition,Yes,10,8,Yes,Wineries,Excellent,7.789358834,Not Available,Yes,Medium,52,No,No,92.38047892,No
201-250,University of Fribourg,USA,Oceania,Continental,48842,22885,Yes,291,74.82238965,No,Hybrid,89,Regional,83,Low,Yes,Yes,High,19.86,No,Active,Full Scholarship,49235.81,Yes,Full Sponsorship,Mandarin,None,Healthcare,Science,1936,4,Library,Cafeteria,11,Jan-15,No,Yes,32,95,USD,Regional Award,Yes,7,6,Yes,Festivals,Excellent,6.721698272,Available,Yes,Low,68,No,Yes,97.83846094,No
601-800,Cairo University,Canada,Asia,Arid,36125,20351,No,291,63.39082006,Yes,Online,70,National,64,High,No,Yes,High,15.21,No,Active,No Scholarship,12992.73,Yes,Full Sponsorship,English,TOEFL,Manufacturing,Business,1911,4,Labs,Restaurants,38,Jan-15,No,Yes,48,80,USD,National Recognition,Yes,2,4,Yes,Concert Halls,Average,9.540090523,Available,Yes,Low,99,Yes,Yes,72.53981478,Yes
4,University of Cambridge,Australia,Oceania,Arid,47890,23109,Yes,292,73.20410619,Yes,In-person,89,National,89,Medium,Yes,No,Low,12.52,No,Inactive,No Scholarship,10164.4,Yes,Partial Sponsorship,German,TOEFL,Healthcare,Business,2001,3,Sports Complex,Food Court,21,Apr-30,No,No,33,85,EUR,Global Ranking Top 100,No,9,5,Yes,Scenic Views,Excellent,9.683493934,Available,No,Low,19,No,No,89.95528461,Yes
193,Texas A&M University,Australia,North America,Arid,37211,14337,Yes,292,65.64690106,No,Hybrid,90,National,72,Medium,No,No,High,8.44,No,Inactive,Full Scholarship,36590.49,No,No Sponsorship,English,GRE,Manufacturing,Business,1803,4,Sports Complex,Cafeteria,28,Nov-01,No,Yes,26,90,EUR,National Recognition,Yes,2,1,Yes,Scenic Views,Good,6.251005895,Available,Yes,Medium,69,No,Yes,76.34015593,Yes
501-600,University of Arkansas,Germany,North America,Tropical,36631,20166,Yes,292,70.26904615,Yes,Hybrid,92,International,99,Low,Yes,Yes,High,8.49,No,Active,Full Scholarship,49809.33,No,Full Sponsorship,French,None,Manufacturing,Technology,1823,5,Gym,Restaurants,23,Apr-30,No,No,22,90,USD,Global Ranking Top 100,No,2,6,No,Historical Sites,Excellent,7.085517028,Available,Yes,Low,45,No,Yes,85.87690291,No
601-800,University of AlcalÃ¡,Canada,Europe,Temperate,30270,13767,No,292,97.51951366,No,In-person,75,National,77,Medium,Yes,Yes,High,6.88,Yes,Active,Full Scholarship,38973.57,No,No Sponsorship,Spanish,TOEFL,Tech,Law,1809,4,Sports Complex,Restaurants,12,Jan-15,No,No,44,90,USD,National Recognition,Yes,0,10,Yes,Historic Towns,Excellent,8.015546896,Not Available,No,Low,77,No,No,83.90166143,Yes
12,Yale University,UK,Asia,Continental,36629,22706,Yes,293,69.79092189,Yes,Hybrid,77,National,81,Low,No,No,High,17.06,No,Inactive,Full Scholarship,46241.22,No,Partial Sponsorship,Spanish,IELTS,Manufacturing,Business,1948,4,Gym,Food Court,17,Jan-15,Yes,No,37,90,USD,Global Ranking Top 100,No,3,10,Yes,Islands,Excellent,8.223118464,Available,Yes,Medium,42,Yes,No,70.05586898,Yes
401-500,University of Idaho,Australia,Europe,Continental,44418,13308,No,293,72.7784035,Yes,Online,97,National,71,Low,No,No,High,11.77,No,Active,Full Scholarship,40133.04,Yes,Partial Sponsorship,English,None,Consulting,Technology,1906,4,Labs,Restaurants,37,Apr-30,No,Yes,43,95,EUR,Regional Award,No,9,4,Yes,Caves,Good,6.473318841,Available,No,Low,33,No,No,71.9174787,Yes
501-600,Pusan National University,Germany,Asia,Continental,44389,9561,Yes,293,50.28354837,No,Hybrid,100,National,70,Low,No,Yes,High,9.19,Yes,Active,Full Scholarship,27266.65,No,No Sponsorship,Spanish,TOEFL,Finance,Technology,1884,4,Library,Restaurants,10,Apr-30,Yes,Yes,43,95,EUR,Global Ranking Top 100,No,2,7,No,Historic Bridges,Excellent,9.752918753,Not Available,Yes,High,49,Yes,No,91.09690649,Yes
301-350,Bangor University,Canada,Asia,Temperate,43071,20226,Yes,294,60.65456019,No,In-person,90,National,65,Low,Yes,No,High,5.03,No,Active,No Scholarship,3657.25,No,Full Sponsorship,German,IELTS,Consulting,Business,1855,4,Gym,Restaurants,19,Nov-01,Yes,No,31,80,USD,National Recognition,No,6,1,Yes,Parks,Good,7.235365248,Not Available,No,Medium,91,Yes,Yes,72.9868325,No
401-500,New University of Lisbon,Australia,North America,Continental,26216,24922,No,294,51.63742065,No,Online,82,National,76,Low,Yes,No,High,19.29,Yes,Inactive,Full Scholarship,16389.53,Yes,Full Sponsorship,English,IELTS,Finance,Technology,1972,5,Labs,Restaurants,14,Nov-01,No,No,33,95,USD,National Recognition,No,6,1,No,Ski Resorts,Excellent,8.83166439,Not Available,Yes,High,50,No,No,80.18247338,Yes
601-800,University of Bradford,Canada,Asia,Arid,49646,20385,Yes,294,92.81016753,No,Hybrid,88,National,74,High,Yes,No,Low,8.73,Yes,Active,Full Scholarship,45747.21,Yes,Full Sponsorship,Spanish,IELTS,Healthcare,Engineering,1911,5,Gym,Cafeteria,43,Jan-15,No,Yes,48,90,USD,Regional Award,No,2,10,No,Waterfronts,Average,8.839658408,Available,Yes,High,66,Yes,Yes,92.29905524,Yes
601-800,Tokai University,USA,North America,Continental,18064,16799,No,294,80.61988074,Yes,In-person,79,International,90,High,Yes,No,Medium,9.35,No,Active,Full Scholarship,3168,Yes,No Sponsorship,Mandarin,IELTS,Finance,Arts,1861,4,Library,Restaurants,34,Nov-01,Yes,No,23,80,USD,Global Ranking Top 100,Yes,0,9,Yes,Library,Average,9.33582554,Not Available,Yes,High,80,No,Yes,88.12078349,No
601-800,West University of TimiÅŸoara,Canada,North America,Temperate,11682,24203,Yes,294,71.46726679,No,Hybrid,74,International,90,High,Yes,No,Low,5.36,Yes,Inactive,Partial Scholarship,19866.13,Yes,Full Sponsorship,English,None,Manufacturing,Arts,1980,5,Gym,Cafeteria,24,Jan-15,Yes,No,33,95,USD,National Recognition,Yes,9,4,No,Castles,Excellent,9.205501531,Not Available,No,Medium,86,No,No,95.12480189,Yes
37,Heidelberg University,UK,North America,Continental,45645,24470,No,295,99.24838808,No,Online,91,National,79,Medium,No,No,High,7.09,Yes,Active,Full Scholarship,8480.95,Yes,Full Sponsorship,English,TOEFL,Manufacturing,Law,1805,5,Sports Complex,Cafeteria,37,Nov-01,Yes,No,47,80,USD,Regional Award,Yes,10,7,No,Amusement Parks,Good,8.42376148,Not Available,Yes,Low,57,No,No,71.15150155,Yes
80,University of Warwick,UK,Asia,Temperate,23921,17332,No,295,68.3028645,No,In-person,91,Regional,64,Medium,No,No,High,18.62,No,Inactive,No Scholarship,28738.51,No,No Sponsorship,French,TOEFL,Healthcare,Business,1974,5,Library,Restaurants,5,Jan-15,Yes,No,38,85,GBP,Global Ranking Top 100,No,3,5,Yes,Historic Towns,Good,8.206282053,Not Available,Yes,Medium,41,Yes,Yes,73.09961628,Yes
251-300,University of Iceland,Germany,Asia,Temperate,36313,24019,No,295,77.67620385,No,Online,93,National,100,High,No,No,Medium,8.3,No,Inactive,No Scholarship,26469.23,No,No Sponsorship,German,TOEFL,Tech,Science,1899,5,Library,Cafeteria,25,Nov-01,No,Yes,34,85,GBP,Regional Award,Yes,1,7,Yes,Vineyards,Good,7.522754545,Available,Yes,High,11,Yes,Yes,76.15608735,Yes
601-800,Pontifical Catholic University of ParanÃ¡,Canada,Oceania,Temperate,42731,16456,No,295,97.89250445,No,In-person,86,International,66,Medium,Yes,No,High,13.97,No,Inactive,No Scholarship,32328.4,No,Full Sponsorship,German,None,Consulting,Business,1918,4,Sports Complex,Food Court,16,Jan-15,Yes,Yes,44,90,GBP,Regional Award,No,2,8,No,Cliffs,Excellent,7.176970112,Not Available,Yes,Low,16,No,No,98.7899914,Yes
501-600,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Germany,Oceania,Tropical,17229,21071,Yes,296,67.3253098,Yes,Online,88,International,89,High,Yes,No,Medium,6.64,No,Inactive,Full Scholarship,33551.22,Yes,Full Sponsorship,German,GRE,Consulting,Law,2014,4,Gym,Food Court,23,Nov-01,No,No,33,85,EUR,National Recognition,Yes,0,2,No,Piers and Harbors,Good,6.643739252,Available,Yes,Medium,12,No,No,72.37030213,Yes
201-250,University of Duisburg-Essen,Australia,Asia,Temperate,42659,9852,No,298,86.80027869,No,Online,70,Regional,65,High,Yes,No,High,12.21,No,Active,Partial Scholarship,9213.44,No,Full Sponsorship,English,GRE,Consulting,Technology,1917,5,Labs,Cafeteria,17,Nov-01,Yes,No,22,90,GBP,National Recognition,No,8,2,No,Historical Sites,Average,6.158169661,Available,No,Medium,99,Yes,Yes,84.00852371,No
251-300,Justus Liebig University Giessen,Australia,Asia,Continental,14690,13657,No,298,77.35844644,Yes,Hybrid,70,International,83,Low,Yes,Yes,Medium,17.9,No,Active,No Scholarship,15003.88,Yes,Partial Sponsorship,Mandarin,GRE,Tech,Arts,1900,4,Gym,Cafeteria,27,Apr-30,No,Yes,35,95,USD,National Recognition,Yes,7,4,No,Islands,Excellent,8.359721924,Available,Yes,Medium,83,No,Yes,86.571296,Yes
123,"Rutgers, the State University of New Jersey",Germany,Asia,Arid,19695,16585,No,299,59.81326887,No,Online,70,National,86,High,No,Yes,Medium,12.61,Yes,Inactive,Full Scholarship,18742.67,Yes,No Sponsorship,French,GRE,Consulting,Law,1909,4,Library,Cafeteria,21,Apr-30,Yes,Yes,43,95,USD,Regional Award,Yes,9,3,Yes,Flea Markets,Average,6.662074202,Available,Yes,Low,29,Yes,No,85.0305711,No
401-500,National Institute of Applied Sciences of Lyon (INSA Lyon),USA,North America,Continental,29635,22112,Yes,299,91.46533094,Yes,Hybrid,97,Regional,76,High,No,No,High,6.99,No,Active,Full Scholarship,7774.11,Yes,Full Sponsorship,Spanish,None,Finance,Engineering,1872,4,Gym,Restaurants,49,Nov-01,No,No,13,85,USD,Regional Award,Yes,0,1,No,Shopping Districts,Excellent,9.007662215,Not Available,No,High,68,Yes,No,87.47400834,No
601-800,Athens University of Economics and Business,Canada,Oceania,Continental,42773,14499,Yes,299,61.24232248,Yes,Hybrid,83,International,98,High,No,No,Low,9.6,Yes,Active,Partial Scholarship,13037.77,No,Full Sponsorship,English,IELTS,Healthcare,Law,2004,3,Gym,Cafeteria,11,Jan-15,No,No,50,90,USD,Regional Award,Yes,9,10,No,National Monuments,Good,6.845744441,Available,Yes,Low,74,No,No,90.28969647,Yes
65,Delft University of Technology,Canada,Asia,Continental,41632,19924,No,300,68.70883739,No,In-person,83,National,93,Medium,No,No,High,7.47,No,Active,Full Scholarship,28011.08,Yes,Partial Sponsorship,German,TOEFL,Tech,Technology,1809,3,Library,Food Court,6,Nov-01,No,Yes,25,85,USD,National Recognition,Yes,0,3,No,Islands,Good,8.154561699,Available,No,High,45,Yes,No,71.91129374,Yes
301-350,Kazan Federal University,Australia,Europe,Tropical,35506,15767,Yes,300,53.9558231,No,Online,84,Regional,61,Low,Yes,No,Medium,11.74,No,Active,Full Scholarship,5548.68,No,No Sponsorship,German,None,Healthcare,Arts,1894,3,Labs,Restaurants,32,Jan-15,Yes,Yes,18,95,USD,Global Ranking Top 100,Yes,10,1,No,Islands,Average,8.964880723,Not Available,No,Low,39,Yes,No,74.16254672,Yes
501-600,Liverpool John Moores University,Germany,Oceania,Continental,21001,13750,No,300,74.23376748,No,Online,76,Regional,78,Medium,Yes,No,Low,9.26,Yes,Active,Partial Scholarship,3583.99,No,No Sponsorship,French,GRE,Finance,Arts,2001,5,Sports Complex,Restaurants,35,Nov-01,No,No,21,90,EUR,Regional Award,Yes,10,2,Yes,Historic Bridges,Average,7.332372569,Available,Yes,Medium,92,Yes,No,73.86786844,Yes
351-400,Wayne State University,Australia,Asia,Arid,47433,11166,Yes,301,81.76369095,Yes,Hybrid,76,Regional,65,Low,Yes,No,High,17.84,No,Active,Partial Scholarship,47967.45,Yes,Full Sponsorship,Spanish,TOEFL,Finance,Engineering,1868,4,Gym,Restaurants,24,Jan-15,Yes,Yes,24,85,USD,Global Ranking Top 100,No,5,4,Yes,Historic Buildings,Excellent,8.18104949,Not Available,Yes,Low,16,No,No,79.02917659,Yes
251-300,LinkÃ¶ping University,USA,Europe,Tropical,18426,15069,No,302,84.11084365,Yes,Online,97,Regional,100,Low,No,No,High,12.17,No,Active,Partial Scholarship,38844.01,Yes,Full Sponsorship,English,None,Consulting,Arts,1943,4,Library,Food Court,16,Nov-01,Yes,No,19,95,USD,Regional Award,Yes,4,1,Yes,Lakes,Good,6.743508889,Not Available,Yes,High,92,Yes,No,92.71068323,Yes
501-600,University of Minho,UK,Asia,Temperate,12365,23123,No,302,70.65416502,Yes,Online,97,International,72,Low,No,No,Low,5.21,Yes,Inactive,No Scholarship,8227.22,Yes,Partial Sponsorship,English,GRE,Finance,Business,1923,5,Gym,Cafeteria,48,Jan-15,Yes,Yes,24,95,EUR,National Recognition,Yes,4,7,No,Castles,Average,9.362004183,Available,No,Medium,59,No,Yes,89.60701466,Yes
351-400,University of New Mexico,USA,North America,Arid,27728,16793,No,304,88.80130712,Yes,Online,88,National,77,Low,Yes,No,Low,11.83,Yes,Inactive,Partial Scholarship,10895.89,No,Partial Sponsorship,Spanish,GRE,Healthcare,Business,1822,5,Library,Cafeteria,12,Jan-15,Yes,No,50,80,EUR,Global Ranking Top 100,Yes,2,9,No,Libraries,Average,8.457202356,Not Available,No,High,41,No,No,97.41915089,Yes
251-300,Rensselaer Polytechnic Institute,UK,Europe,Temperate,16516,24768,No,305,68.35254259,No,Hybrid,96,Regional,61,Low,No,No,High,10.97,No,Inactive,Partial Scholarship,7919.44,Yes,Partial Sponsorship,French,IELTS,Finance,Law,1914,3,Sports Complex,Restaurants,37,Jan-15,Yes,Yes,48,85,USD,Regional Award,No,6,5,Yes,Concert Halls,Average,8.070180346,Available,Yes,High,49,Yes,No,96.25440153,No
401-500,Iran University of Science and Technology,USA,Oceania,Tropical,39790,13817,Yes,305,50.05558484,No,In-person,94,International,85,Medium,Yes,Yes,Medium,9.2,Yes,Active,Partial Scholarship,39283.12,No,Partial Sponsorship,Mandarin,IELTS,Tech,Arts,1866,3,Labs,Restaurants,26,Nov-01,No,Yes,35,95,USD,National Recognition,No,2,6,No,Religious Sites,Excellent,9.380986989,Not Available,Yes,High,52,Yes,No,82.44595236,Yes
601-800,National University of Science and Technology (MISiS),Canada,North America,Continental,15861,16961,No,305,75.62342031,No,Hybrid,81,National,63,High,Yes,No,Low,5.3,Yes,Active,Partial Scholarship,41342.76,No,No Sponsorship,English,IELTS,Healthcare,Business,1931,3,Gym,Food Court,29,Jan-15,Yes,Yes,42,80,USD,Regional Award,Yes,1,2,Yes,Opera Houses,Excellent,7.300574263,Not Available,Yes,High,18,Yes,No,97.15211593,Yes
601-800,Nottingham Trent University,USA,Oceania,Continental,24660,18922,No,305,74.61919433,Yes,Hybrid,99,Regional,90,High,No,Yes,Low,7.18,No,Inactive,No Scholarship,26441.42,No,Full Sponsorship,French,None,Finance,Arts,1968,5,Sports Complex,Food Court,33,Apr-30,No,No,40,85,GBP,Global Ranking Top 100,No,6,6,No,Temples,Excellent,9.033787527,Not Available,Yes,Low,75,Yes,Yes,72.94878663,No
201-250,University of Calgary,Australia,Oceania,Continental,19364,12357,Yes,306,79.04452105,Yes,In-person,84,Regional,98,Medium,No,No,Low,12.06,No,Active,Partial Scholarship,35802.61,Yes,Full Sponsorship,English,IELTS,Healthcare,Business,1895,3,Labs,Food Court,28,Apr-30,No,No,32,90,USD,Regional Award,Yes,4,3,No,Islands,Excellent,8.654247831,Available,Yes,High,45,No,Yes,89.36735516,No
301-350,Nagoya University,Australia,Oceania,Temperate,20084,13028,Yes,306,74.23892544,Yes,Online,77,Regional,70,Medium,No,No,Medium,15.88,No,Active,No Scholarship,16527.85,Yes,No Sponsorship,Spanish,GRE,Tech,Science,1836,5,Gym,Cafeteria,32,Apr-30,No,No,35,95,GBP,National Recognition,Yes,9,6,No,Parks,Excellent,6.265990009,Available,Yes,Medium,61,Yes,No,83.01831315,No
301-350,University of Navarra,USA,North America,Continental,14290,18399,No,306,94.95178341,No,In-person,85,Regional,83,Low,No,No,Medium,19.65,No,Inactive,No Scholarship,33465,No,No Sponsorship,Mandarin,IELTS,Finance,Arts,1875,3,Labs,Restaurants,23,Apr-30,No,Yes,22,90,USD,Global Ranking Top 100,Yes,8,7,Yes,Library,Excellent,8.886889956,Not Available,Yes,High,36,Yes,Yes,90.2031421,Yes
401-500,"China Medical University, Taiwan",Germany,Asia,Arid,27205,9883,Yes,306,72.05867629,Yes,Online,88,International,98,Medium,Yes,Yes,Low,7.88,No,Active,Full Scholarship,36298.34,No,Full Sponsorship,Mandarin,TOEFL,Finance,Technology,1800,4,Labs,Cafeteria,42,Nov-01,No,Yes,12,95,USD,Regional Award,Yes,8,4,Yes,Concert Halls,Good,9.785597508,Available,Yes,Medium,46,No,No,71.92610062,No
